max_power,engine,mileage,selling_price
78.9,1197.0,20.36,12.611537753638338
98.6,1498.0,24.5,13.217673557208654
81.86,1197.0,17.19,13.122363377404328
112.0,2498.0,14.0,12.487485104968359
74.0,1248.0,27.39,13.458835614025542
74.02,1248.0,28.4,13.38472764187182
94.93,1194.0,19.4,13.592367006650065
47.3,796.0,22.74,12.506177237980511
67.1,998.0,20.92,12.201060103706629
83.1,1197.0,21.4,13.399995114002609
100.0,2494.0,12.99,13.500799813124575
90.0,1396.0,21.9,12.676076274775909
63.0,2523.0,13.6,12.676076274775909
88.7,1193.0,17.57,13.122363377404328
147.8,2393.0,13.68,14.397725619157564
73.97,1186.0,24.0,13.217673557208654
100.6,2494.0,12.99,13.527828485512494
88.76,1199.0,19.5,13.458835614025542
84.0,1199.0,23.84,13.122363377404328
75.0,2523.0,15.4,13.815510557964274
37.0,796.0,16.1,11.736069016284437
84.8,1461.0,21.64,12.577636201962656
157.7,2494.0,19.16,14.508657738524219
69.01,1405.0,19.09,12.834681304952548
81.86,1197.0,20.14,13.287877815881902
80.0,2499.0,14.8,12.594730635321957
88.8,1248.0,20.77,13.017002861746503
76.0,1150.0,14.7,11.904967552746252
120.69,1496.0,15.9,13.303016877097587
95.0,2489.0,14.0,12.542544882151386
99.0,1498.0,25.83,12.80765263256463
88.76,1248.0,20.77,13.081541382884074
69.0,1396.0,19.09,11.84939770159144
46.3,796.0,19.7,11.608235644774552
81.83,1197.0,18.6,13.500799813124575
68.0,1998.0,14.8,11.918390573078392
177.0,1999.0,19.33,14.978661367769956
55.2,814.0,21.1,12.323855681186558
88.7,1193.0,17.57,12.765688433465597
88.76,1248.0,21.02,12.542544882151386
112.0,2498.0,14.0,12.765688433465597
62.1,1086.0,17.92,11.84939770159144
126.32,1582.0,22.32,12.793859310432293
74.0,1248.0,22.95,13.071070083016778
97.9,1498.0,25.6,14.077874822431765
79.4,1199.0,18.6,11.84939770159144
73.8,1248.0,18.2,12.821258284620408
126.32,1582.0,22.32,12.793859310432293
147.9,1991.0,18.3,12.506177237980511
147.8,2393.0,13.68,14.204168547756057
81.8,1197.0,21.01,13.560618308335483
82.0,1197.0,18.9,12.89921982609012
110.0,1493.0,16.8,12.26434155365415
102.0,2494.0,12.8,13.527828485512494
110.0,1493.0,16.2,12.429216196844383
103.2,1498.0,21.21,12.926348493478372
82.4,1248.0,19.41689295516926,11.002099841204238
81.86,1197.0,18.6,13.437174117244362
78.9,1197.0,20.36,12.367340793126296
100.6,2494.0,12.99,13.527828485512494
88.5,1248.0,28.09,13.527828485512494
37.0,796.0,16.1,11.964001084330445
67.05,998.0,23.95,12.388394202324129
104.55,1498.0,14.23,13.664687668229691
53.3,799.0,25.17,12.206072645530174
55.2,814.0,21.1,12.043553716032399
67.0,1061.0,18.9,11.350406535472453
67.05,998.0,23.95,12.706847933442663
147.94,2179.0,14.1,13.128345449081877
74.0,1248.0,22.95,12.676076274775909
46.3,796.0,19.7,11.759785542901755
147.9,1991.0,11.5,12.611537753638338
63.0,995.0,16.0,11.736069016284437
108.5,1461.0,19.01,13.17115354157376
67.05,998.0,21.79,12.323855681186558
69.0,1396.0,19.09,12.100712129872347
78.9,1197.0,20.36,12.495003937382387
68.05,1086.0,19.81,12.100712129872347
83.1,1197.0,21.4,13.235692062711331
88.73,1496.0,16.78,13.345506928718539
82.0,1493.0,13.1,12.043553716032399
82.5,1199.0,18.2,12.611537753638338
88.8,1198.0,16.7,12.733755386362587
47.3,796.0,22.74,12.429216196844383
63.0,2523.0,18.06,12.959844447906553
86.8,1196.0,18.16,12.89921982609012
138.1,1968.0,17.2,13.304684934198283
89.75,1498.0,25.01,13.124361380067002
68.05,998.0,20.3,12.230760380059866
198.25,2359.0,13.44,13.217673557208654
37.5,624.0,25.4,11.461632170582678
93.7,1495.0,16.36,12.429216196844383
84.8,1199.0,18.2,12.409013489526863
62.1,2523.0,15.96,13.253391639810733
34.2,796.0,16.8,12.468436909997665
70.0,1120.0,24.0,12.765688433465597
120.7,2143.0,14.8,14.187074114396758
89.75,1498.0,25.01,13.287877815881902
147.8,2393.0,13.68,14.27040054939996
126.32,1582.0,22.32,13.017002861746503
65.0,1193.0,15.2,11.695247021764184
81.8,1197.0,21.21,13.422467969854667
37.48,624.0,25.4,11.461632170582678
100.0,2494.0,12.99,13.304684934198283
